Cod_Istat;Comune;Regione;Provincia;Prefisso_Tel;Cod_fiscale;Superficie;Num_Residenti
16001;Adrara San Martino;Lombardia;BG;035;A057;12,53;2158
16002;Adrara San Rocco;Lombardia;BG;035;A058;9,09;833
16003;Albano Sant'Alessandro;Lombardia;BG;035;A129;5,28;8147
16004;Albino;Lombardia;BG;035;A163;31,32;18192
16005;Almè;Lombardia;BG;035;A214;1,96;5631
16006;Almenno San Bartolomeo;Lombardia;BG;035;A216;10,42;6062
16007;Almenno San Salvatore;Lombardia;BG;035;A217;4,75;5789
16008;Alzano Lombardo;Lombardia;BG;035;A246;13,43;13575
16009;Ambivere;Lombardia;BG;035;A259;3,24;2371
16011;Arcene;Lombardia;BG;035;A365;4,23;4767
16015;Aviatico;Lombardia;BG;035;A517;8,43;526
16016;Azzano San Paolo;Lombardia;BG;035;A528;4,21;7601
16018;Bagnatica;Lombardia;BG;035;A557;6,25;4211
16021;Barzana;Lombardia;BG;035;A684;2,06;1846
16022;Bedulita;Lombardia;BG;035;A732;4,13;745
16023;Berbenno;Lombardia;BG;035;A786;6,3;2432
16024;Bergamo;Lombardia;BG;035;A794;39,6;115072
16025;Berzo San Fermo;Lombardia;BG;035;A815;5,79;1304
16026;Bianzano;Lombardia;BG;035;A846;6,63;615
16028;Bolgare;Lombardia;BG;035;A937;8,4;5906
16029;Boltiere;Lombardia;BG;035;A950;4,05;5880
16030;Bonate Sopra;Lombardia;BG;035;A963;5,94;9233
16031;Bonate Sotto;Lombardia;BG;035;A962;6,27;6548
16032;Borgo di Terzo;Lombardia;BG;035;B010;1,86;1124
16033;Bossico;Lombardia;BG;035;B083;7,09;980
16034;Bottanuco;Lombardia;BG;035;B088;5,72;5180
16037;Brembate;Lombardia;BG;035;B137;5,45;8439
16038;Brembate di Sopra;Lombardia;BG;035;B138;4,34;7850
16041;Brumano;Lombardia;BG;035;B217;8,14;105
16042;Brusaporto;Lombardia;BG;035;B223;5,01;5492
16043;Calcinate;Lombardia;BG;035;B393;14,72;5861
16046;Calusco d'Adda;Lombardia;BG;035;B434;8,24;8296
16050;Capizzone;Lombardia;BG;035;B661;4,59;1279
16052;Caprino Bergamasco;Lombardia;BG;035;B710;8,6;3122
16055;Carobbio degli Angeli;Lombardia;BG;035;B801;6,67;4608
16057;Carvico;Lombardia;BG;035;B854;4,38;4643
16058;Casazza;Lombardia;BG;035;B947;7,06;4030
16060;Casnigo;Lombardia;BG;035;B978;13,48;3343
16062;Castelli Calepio;Lombardia;BG;035;C079;9,91;9671
16065;Castro;Lombardia;BG;035;C337;3,53;1400
16066;Cavernago;Lombardia;BG;035;C396;7,46;2569
16067;Cazzano Sant'Andrea;Lombardia;BG;035;C410;2,04;1620
16068;Cenate Sopra;Lombardia;BG;035;C456;6,93;2511
16069;Cenate Sotto;Lombardia;BG;035;C457;4,51;3563
16070;Cene;Lombardia;BG;035;C459;8,57;4272
16072;Chignolo d'Isola;Lombardia;BG;035;C635;5,29;3237
16073;Chiuduno;Lombardia;BG;035;C649;6,63;5886
16074;Cisano Bergamasco;Lombardia;BG;035;C728;7,54;6304
16075;Ciserano;Lombardia;BG;035;C730;5,2;5795
16079;Cologno al Serio;Lombardia;BG;035;C894;17,53;10679
16080;Colzate;Lombardia;BG;035;C910;6,69;1655
16081;Comun Nuovo;Lombardia;BG;035;C937;6,36;4277
16082;Corna Imagna;Lombardia;BG;035;D015;4,54;949
16084;Costa di Mezzate;Lombardia;BG;035;D110;5,1;3284
16085;Costa Valle Imagna;Lombardia;BG;035;D103;4,26;613
16086;Costa Volpino;Lombardia;BG;035;D117;18,58;9253
16088;Credaro;Lombardia;BG;035;D139;3,4;3447
16089;Curno;Lombardia;BG;035;D221;4,62;7590
16091;Dalmine;Lombardia;BG;035;D245;11,6;22948
16093;Endine Gaiano;Lombardia;BG;035;D406;20,88;3506
16094;Entratico;Lombardia;BG;035;D411;4,12;1904
16098;Filago;Lombardia;BG;035;D588;5,34;3168
16100;Fiorano al Serio;Lombardia;BG;035;D606;1,1;3041
16102;Fonteno;Lombardia;BG;035;D684;11,07;670
16104;Foresto Sparso;Lombardia;BG;035;D697;7,73;3137
16106;Fuipiano Valle Imagna;Lombardia;BG;035;D817;4,23;220
16108;Gandino;Lombardia;BG;035;D905;29,14;5580
16109;Gandosso;Lombardia;BG;035;D906;3,11;1506
16110;Gaverina Terme;Lombardia;BG;035;D943;5,18;886
16111;Gazzaniga;Lombardia;BG;035;D952;14,65;5135
16114;Gorlago;Lombardia;BG;035;E100;5,56;5126
16115;Gorle;Lombardia;BG;035;E103;2,41;6550
16116;Gorno;Lombardia;BG;035;E106;9,87;1638
16117;Grassobbio;Lombardia;BG;035;E148;8,25;6384
16119;Grone;Lombardia;BG;035;E192;7,83;902
16120;Grumello del Monte;Lombardia;BG;035;E219;9,82;7351
16123;Lallio;Lombardia;BG;035;E422;2,14;4152
16124;Leffe;Lombardia;BG;035;E509;6,76;4629
16126;Levate;Lombardia;BG;035;E562;5,31;3810
16127;Locatello;Lombardia;BG;035;E640;3,75;820
16128;Lovere;Lombardia;BG;035;E704;7,36;5325
16129;Lurano;Lombardia;BG;035;E751;3,98;2655
16130;Luzzana;Lombardia;BG;035;E770;3,38;905
16131;Madone;Lombardia;BG;035;E794;2,98;3953
16132;Mapello;Lombardia;BG;035;E901;8,5;6611
16137;Monasterolo del Castello;Lombardia;BG;035;F328;8,48;1176
16139;Montello;Lombardia;BG;035;F547;1,74;3187
