IDRGN;DSRGN;ANREGION;IDNIELSEN;DSNIELSEN;IDISTAT1;IDISTAT2;IDISTAT3;DSISTAT3
01;ABRUZZO;ABR;04;ITALIA - SUD E ISOLE;13;ITF1;ITF;Sud
02;BASILICATA;BAS;04;ITALIA - SUD E ISOLE;17;ITF5;ITF;Sud
03;BOLZANO;TRE;02;ITALIA - NORD EST;04;ITD1;ITD;Nord-est
04;CALABRIA;CAL;04;ITALIA - SUD E ISOLE;18;ITF6;ITF;Sud
05;CAMPANIA;CAM;04;ITALIA - SUD E ISOLE;15;ITF3;ITF;Sud
06;EMILIA ROMAGNA;EMI;02;ITALIA - NORD EST;08;ITD5;ITD;Nord-est
07;FRIULI VENEZIA GIULIA;FRI;02;ITALIA - NORD EST;06;ITD4;ITD;Nord-est
08;LAZIO;LAZ;03;ITALIA - CENTRO;12;ITE4;ITE;Centro
09;LIGURIA;LIG;01;ITALIA - NORD OVEST;07;ITC3;ITC;Nord-ovest
10;LOMBARDIA;LOM;01;ITALIA - NORD OVEST;03;ITC4;ITC;Nord-ovest
11;MARCHE;MAR;03;ITALIA - CENTRO;11;ITE3;ITE;Centro
12;MOLISE;MOL;04;ITALIA - SUD E ISOLE;14;ITF2;ITF;Sud
13;PIEMONTE;PIE;01;ITALIA - NORD OVEST;01;ITC1;ITC;Nord-ovest
14;PUGLIA;PUG;04;ITALIA - SUD E ISOLE;16;ITF4;ITF;Sud
15;SARDEGNA;SAR;04;ITALIA - SUD E ISOLE;20;ITG2;ITG;Isole
16;SICILIA;SIC;04;ITALIA - SUD E ISOLE;19;ITG1;ITG;Isole
17;TOSCANA;TOS;03;ITALIA - CENTRO;09;ITE1;ITE;Centro
18;TRENTO;TRE;02;ITALIA - NORD EST;04;ITD2;ITD;Nord-est
19;UMBRIA;UMB;03;ITALIA - CENTRO;10;ITE2;ITE;Centro
20;VALLE D'AOSTA/VALLEE D'AOSTE;AOS;01;ITALIA - NORD OVEST;02;ITC2;ITC;Nord-ovest
21;VENETO;VEN;02;ITALIA - NORD EST;05;ITD3;ITD;Nord-est
EE;ESTERO;EE;;;;;;
