Comune;Codice Fiscale;Superficie;Codice ISTAT;Longitudine;Latitudine;Codice Z Regione;Provincia;Codice ISTAT Provincia
"Adrara San Martino";"A057";12,53;"016001";9,9482497;45,69819924;"10";"BG";"016"
"Adrara San Rocco";"A058";9,09;"016002";9,95771458;45,71217274;"10";"BG";"016"
"Albano Sant'Alessandro";"A129";5,28;"016003";9,7662362;45,68645495;"10";"BG";"016"
"Albino";"A163";31,32;"016004";9,7969345;45,76059116;"10";"BG";"016"
"Almè";"A214";1,96;"016005";9,6175669;45,74006437;"10";"BG";"016"
"Almenno San Bartolomeo";"A216";10,42;"016006";9,57826907;45,74829449;"10";"BG";"016"
"Almenno San Salvatore";"A217";4,75;"016007";9,58738459;45,74973808;"10";"BG";"016"
"Alzano Lombardo";"A246";13,43;"016008";9,72580631;45,72747077;"10";"BG";"016"
"Ambivere";"A259";3,24;"016009";9,54722545;45,71859384;"10";"BG";"016"
"Arcene";"A365";4,23;"016011";9,61367879;45,57551324;"10";"BG";"016"
"Aviatico";"A517";8,43;"016015";9,76892181;45,7928051;"10";"BG";"016"
"Azzano San Paolo";"A528";4,21;"016016";9,67632432;45,66191569;"10";"BG";"016"
"Bagnatica";"A557";6,25;"016018";9,78137877;45,66367408;"10";"BG";"016"
"Barzana";"A684";2,06;"016021";9,56703564;45,73364503;"10";"BG";"016"
"Bedulita";"A732";4,13;"016022";9,55092365;45,79064007;"10";"BG";"016"
"Berbenno";"A786";6,3;"016023";9,56832347;45,81171214;"10";"BG";"016"
"Bergamo";"A794";39,6;"016024";9,66842453;45,69441368;"10";"BG";"016"
"Berzo San Fermo";"A815";5,79;"016025";9,90029675;45,71817;"10";"BG";"016"
"Bianzano";"A846";6,63;"016026";9,91778785;45,7733787;"10";"BG";"016"
"Bolgare";"A937";8,4;"016028";9,8202383;45,63185923;"10";"BG";"016"
"Boltiere";"A950";4,05;"016029";9,57823378;45,59977641;"10";"BG";"016"
"Bonate Sopra";"A963";5,94;"016030";9,55923638;45,6830883;"10";"BG";"016"
"Bonate Sotto";"A962";6,27;"016031";9,56130516;45,66636307;"10";"BG";"016"
"Borgo di Terzo";"B010";1,86;"016032";9,89141094;45,72095531;"10";"BG";"016"
"Bossico";"B083";7,09;"016033";10,04486839;45,82701072;"10";"BG";"016"
"Bottanuco";"B088";5,72;"016034";9,50359425;45,64081122;"10";"BG";"016"
"Brembate";"B137";5,45;"016037";9,55516253;45,60388463;"10";"BG";"016"
"Brembate di Sopra";"B138";4,34;"016038";9,57758711;45,71627848;"10";"BG";"016"
"Brumano";"B217";8,14;"016041";9,50061272;45,85462791;"10";"BG";"016"
"Brusaporto";"B223";5,01;"016042";9,76126081;45,67082667;"10";"BG";"016"
"Calcinate";"B393";14,72;"016043";9,80155201;45,61977118;"10";"BG";"016"
"Calusco d'Adda";"B434";8,24;"016046";9,47138472;45,68834716;"10";"BG";"016"
"Capizzone";"B661";4,59;"016050";9,56852652;45,78452319;"10";"BG";"016"
"Caprino Bergamasco";"B710";8,6;"016052";9,48158177;45,74646782;"10";"BG";"016"
