IDRGN;DSRGN;ANREGION;IDNIELSEN;DSNIELSEN;IDISTAT1;IDISTAT2;IDISTAT3;DSISTAT3;LAT_REG;LON_REG
"01";"ABRUZZO";"ABR";"04";"ITALIA - SUD E ISOLE";"13";"ITF1";"ITF";"Sud";"42,35122196";"13,39843823"
"02";"BASILICATA";"BAS";"04";"ITALIA - SUD E ISOLE";"17";"ITF5";"ITF";"Sud";"40,63947052";"15,80514834"
"03";"BOLZANO";"TRE";"02";"ITALIA - NORD EST";"04";"ITD1";"ITD";"Nord-est";"46,49933453";"11,35662422"
"18";"TRENTO";"TRE";"02";"ITALIA - NORD EST";"04";"ITD2";"ITD";"Nord-est";"46,06893511";"11,12123097"
"04";"CALABRIA";"CAL";"04";"ITALIA - SUD E ISOLE";"18";"ITF6";"ITF";"Sud";"38,90597598";"16,59440194"
"05";"CAMPANIA";"CAM";"04";"ITALIA - SUD E ISOLE";"15";"ITF3";"ITF";"Sud";"40,83956555";"14,25084984"
"06";"EMILIA ROMAGNA";"EMI";"02";"ITALIA - NORD EST";"08";"ITD5";"ITD";"Nord-est";"44,49436681";"11,3417208"
"07";"FRIULI VENEZIA GIULIA";"FRI";"02";"ITALIA - NORD EST";"06";"ITD4";"ITD";"Nord-est";"45,6494354";"13,76813649"
"08";"LAZIO";"LAZ";"03";"ITALIA - CENTRO";"12";"ITE4";"ITE";"Centro";"41,89277044";"12,48366722"
"09";"LIGURIA";"LIG";"01";"ITALIA - NORD OVEST";"07";"ITC3";"ITC";"Nord-ovest";"44,41149315";"8,9326992"
"10";"LOMBARDIA";"LOM";"01";"ITALIA - NORD OVEST";"03";"ITC4";"ITC";"Nord-ovest";"45,46679409";"9,190347404"
"11";"MARCHE";"MAR";"03";"ITALIA - CENTRO";"11";"ITE3";"ITE";"Centro";"43,61675973";"13,5188753"
"12";"MOLISE";"MOL";"04";"ITALIA - SUD E ISOLE";"14";"ITF2";"ITF";"Sud";"41,55774754";"14,65916051"
"13";"PIEMONTE";"PIE";"01";"ITALIA - NORD OVEST";"01";"ITC1";"ITC";"Nord-ovest";"45,0732745";"7,680687483"
"14";"PUGLIA";"PUG";"04";"ITALIA - SUD E ISOLE";"16";"ITF4";"ITF";"Sud";"41,12559576";"16,86736689"
"15";"SARDEGNA";"SAR";"04";"ITALIA - SUD E ISOLE";"20";"ITG2";"ITG";"Isole";"39,21531192";"9,110616306"
"16";"SICILIA";"SIC";"04";"ITALIA - SUD E ISOLE";"19";"ITG1";"ITG";"Isole";"38,11569725";"13,3623567"
"17";"TOSCANA";"TOS";"03";"ITALIA - CENTRO";"09";"ITE1";"ITE";"Centro";"43,76923077";"11,25588885"
"19";"UMBRIA";"UMB";"03";"ITALIA - CENTRO";"10";"ITE2";"ITE";"Centro";"43,10675841";"12,38824698"
"20";"VALLE D'AOSTA/VALLEE D'AOSTE";"AOS";"01";"ITALIA - NORD OVEST";"02";"ITC2";"ITC";"Nord-ovest";"45,73750286";"7,320149366"
"21";"VENETO";"VEN";"02";"ITALIA - NORD EST";"05";"ITD3";"ITD";"Nord-est";"45,43490485";"12,33845213"
EE;ESTERO;EE;;;;;;;;
